254,0
251,0
247,0
235,0
222,0
217,0
207,0
203,0
200,0
65,0
45,0
33,0
23,0
16,0
10,0
5,0
1,0
46,13
196,1
53,6
74,32
72,19
189,3
174,7
48,11
8,7
22,12
15,7
12,10
4,9
9,7
20,10
169,8
11,4
24,10
2,8
7,9
195,2
50,7
37,3
14,6
3,6
17,8
6,10
26,9
29,12
171,6
32,9
38,9
67,24
63,11
56,24
180,5
215,1
178,10
173,9
55,9
68,17
211,2
62,16
209,1
161,20
158,17
13,7
210,3
214,1
185,5
84,44
75,25
59,17
27,9
176,7
216,2
167,12
61,16
34,17
40,3
60,29
163,11
81,35
41,6
30,5
221,1
52,14
44,8
36,9
205,5
244,2
175,9
64,14
54,18
49,16
76,27
246,1
231,2
57,12
31,11
250,2
233,1
39,17
70,17
238,7
229,2
228,2
79,40
193,1
237,4
253,2
243,2
224,2
188,2
89,72
194,5
245,3
252,2
225,4
227,2
219,1
197,5
177,6
239,3
241,1
230,5
184,6
249,3
255,4
198,5
191,5
179,5
154,21
201,3
242,2
220,1
204,3
190,3
182,4
202,1
226,4
170,10
192,4
223,4
199,1
165,13
160,15
168,23
164,13
186,5
150,23
156,21
166,17
172,10
58,13
213,1
69,15
236,6
218,2
42,11
248,1
240,4
212,3
234,6
162,20
187,9
78,43
47,12
181,11
43,10
25,12
232,1
92,75
51,9
18,8
35,11
21,11
19,11
157,21
144,40
145,33
80,28
28,14
0,99
91,67
90,68
71,20
77,33
73,23
82,49
155,18
87,74
66,15
140,87
93,86
108,287
151,28
96,99
109,437
143,50
147,30
97,118
105,187
183,6
107,263
113,1138
159,13
106,237
153,25
86,49
94,85
83,55
99,137
208,1
142,47
148,30
152,29
104,208
100,135
102,159
98,126
103,177
88,61
95,110
85,64
101,148
206,1
139,105
135,461
134,291
141,54
111,529
137,141
133,348
146,27
110,472
130,1009
138,111
149,31
112,819
129,1371
132,442
115,2241
117,3377
116,2823
136,154
114,1414
118,4282
120,5145
119,4909
126,2542
122,4744
121,4773
125,2917
128,1844
127,2163
124,3484
131,700
123,4905
