255,255
254,255
253,255
252,255
251,255
250,255
249,255
248,255
247,255
246,255
245,255
244,255
243,255
242,255
241,255
240,255
239,255
238,255
237,255
236,255
235,255
234,255
233,255
232,255
231,255
230,255
229,255
228,255
227,255
226,255
225,255
224,255
223,255
222,255
221,255
220,255
219,255
218,255
217,255
216,255
215,255
214,255
213,255
212,255
211,255
210,255
209,255
208,255
207,255
206,255
205,255
204,255
203,255
202,255
201,255
200,255
199,255
198,255
197,255
196,255
195,254
194,254
193,254
192,254
191,254
190,254
189,254
188,254
187,254
186,254
185,254
184,254
183,254
182,254
181,254
180,254
179,254
178,254
177,254
176,254
175,254
174,254
173,254
172,254
171,254
170,254
169,254
168,254
167,254
166,254
165,254
164,254
163,254
162,254
161,253
160,253
159,253
158,253
157,253
156,253
155,253
154,253
153,253
152,253
151,253
150,253
149,252
148,252
147,252
146,252
145,252
144,252
143,252
142,252
141,251
140,251
139,251
138,250
137,250
136,249
135,249
134,247
133,246
132,245
131,243
130,240
129,236
128,231
127,224
126,215
125,205
124,194
123,180
122,161
121,143
120,124
119,104
118,85
117,69
116,55
115,44
114,36
113,30
112,26
111,23
110,21
109,19
108,17
107,16
106,15
105,14
104,13
103,12
102,12
101,11
100,10
99,10
98,9
97,9
96,8
95,8
94,8
93,7
92,7
91,7
90,6
89,6
88,6
87,6
86,5
85,5
84,5
83,5
82,5
81,4
80,4
79,4
78,4
77,4
76,4
75,4
74,3
73,3
72,3
71,3
70,3
69,3
68,3
67,3
66,3
65,3
64,3
63,3
62,3
61,3
60,3
59,2
58,2
57,2
56,2
55,2
54,2
53,2
52,2
51,2
50,2
49,2
48,2
47,2
46,2
45,2
44,2
43,2
42,2
41,2
40,2
39,2
38,2
37,1
36,1
35,1
34,1
33,1
32,1
31,1
30,1
29,1
28,1
27,1
26,1
25,1
24,1
23,1
22,1
21,1
20,1
19,1
18,1
17,1
16,1
15,1
14,1
13,1
12,1
11,1
10,1
9,1
8,1
7,1
6,1
5,0
4,0
3,0
2,0
1,0
0,0
